[35597,2347,2379,2373,1206,1546,1508,894,830,583,967,216,564,1230]
[2347,11953,433,670,441,569,551,303,211,254,401,78,240,249]
[2379,433,8124,527,242,369,375,215,219,139,275,47,125,363]
[2373,670,527,8915,312,480,375,283,190,176,277,56,148,289]
[1206,441,242,312,6061,287,313,178,111,112,175,52,102,107]
[1546,569,369,480,287,6595,368,229,139,116,185,80,96,203]
[1508,551,375,375,313,368,6782,208,129,130,229,66,112,136]
[894,303,215,283,178,229,208,4612,95,74,128,33,82,122]
[830,211,219,190,111,139,129,95,3049,67,82,27,38,112]
[583,254,139,176,112,116,130,74,67,3259,115,26,60,49]
[967,401,275,277,175,185,229,128,82,115,5513,39,106,103]
[216,78,47,56,52,80,66,33,27,26,39,1116,9,20]
[564,240,125,148,102,96,112,82,38,60,106,9,2861,75]
[1230,249,363,289,107,203,136,122,112,49,103,20,75,3399]