매장명,평균방문횟수,최초방문,재방문,1회,2회,3회,4회,단일브랜드,복수브랜드
S매장,179,73%,27%,73%,15%,4%,8%,66%,34%
T매장,105,75%,25%,75%,12%,4%,9%,62%,38%
H매장,105,81%,19%,81%,10%,3%,6%,61%,39%
TS매장,98,81%,19%,81%,11%,2%,6%,61%,39%
P매장,97,81%,19%,81%,9%,5%,5%,61%,39%
A매장,91,81%,19%,81%,10%,2%,7%,60%,40%
C매장,87,82%,18%,82%,10%,3%,5%,59%,41%
B매장,73,83%,17%,83%,9%,3%,5%,57%,43%
PS매장,71,84%,16%,84%,9%,2%,5%,56%,44%
CG매장,59,84%,16%,84%,9%,3%,4%,55%,45%
E매장,55,84%,16%,84%,9%,3%,4%,54%,46%
CB매장,52,85%,15%,85%,9%,2%,4%,54%,46%
CBY매장,51,85%,15%,85%,8%,3%,4%,53%,47%
Y매장,40,86%,14%,86%,7%,4%,3%,44%,56%