매장명,S매장,E매장,C매장,TS매장,CB매장,H매장,TT매장,A매장,P매장,Y매장,B매장,CG매장,CBY매장,PB매장
S매장,0,2347,2379,2373,1206,1546,1508,894,830,583,967,216,564,1230
E매장,2347,0,433,670,441,569,551,303,211,254,401,78,240,249
C매장,2379,433,0,527,242,369,375,215,219,139,275,47,125,363
T매장,2373,670,527,0,312,480,375,283,190,176,277,56,148,289
CB매장,1206,441,242,312,0,287,313,178,111,112,175,52,102,107
H매장,1546,569,369,480,287,0,368,229,139,116,185,80,96,203
TT매장,1508,551,375,375,313,368,0,208,129,130,229,66,112,136
A매장,894,303,215,283,178,229,208,0,95,74,128,33,82,122
P매장,830,211,219,190,111,139,129,95,0,67,82,27,38,112
Y매장,583,254,139,176,112,116,130,74,67,0,115,26,60,49
B매장,967,401,275,277,175,185,229,128,82,115,0,39,106,103
CG매장,216,78,47,56,52,80,66,33,27,26,39,0,9,20
CBY매장,564,240,125,148,102,96,112,82,38,60,106,9,0,75
PB매장,1230,249,363,289,107,203,136,122,112,49,103,20,75,0